name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
Hingurakgoda Air Force Base,VCCH,HIM,,False,False,False,Hingurakgoda Air Force Base (Sri Lanka) (VCCH / HIM)
Kazi Nazrul Islam Airport,VEDG,RDP,,False,False,False,Kazi Nazrul Islam Airport (India) (VEDG / RDP)
Ambala Air Force Station,VIAM,,,False,False,False,Ambala Air Force Station (India) (VIAM)
Sirsa Air Force Station,VISA,,,False,False,False,Sirsa Air Force Station (India) (VISA)
Udhampur Air Force Station,VIUX,,,False,False,False,Udhampur Air Force Station (India) (VIUX)
Sri Sathya Sai Airport,VOPN,PUT,,False,False,False,Sri Sathya Sai Airport (India) (VOPN / PUT)
Meiktila Air Base,VYML,,,False,False,False,Meiktila Air Base (Burma) (VYML)
Changi Air Base,WSAC,,,False,False,False,Changi Air Base (East) (Singapore) (WSAC)
Soltsy-2 Air Base,XLLL,,,False,False,False,Soltsy-2 Air Base (Russia) (XLLL)
Severomorsk-3 Naval Air Base,XLMV,,,False,False,False,Severomorsk-3 Naval Air Base (Russia) (XLMV)
Fedotovo Naval Air Base,XLWF,,,False,False,False,Fedotovo Naval Air Base (Russia) (XLWF)
Lebyazhye Air Base,XRWL,,,False,False,False,Lebyazhye Air Base (Russia) (XRWL)
Smolensk North Airport,XUBS,LNX,,False,False,False,Smolensk North Airport (Russia) (XUBS / LNX)
Rtishchevo Air Base,XWPR,,,False,False,False,Rtishchevo Air Base (Russia) (XWPR)
Alpha Airport,YAPH,ABH,,False,False,False,Alpha Airport (Australia) (YAPH / ABH)
Ararat Airport,YARA,ARY,,False,False,False,Ararat Airport (Australia) (YARA / ARY)
Benalla Airport,YBLA,BLN,,False,False,False,Benalla Airport (Australia) (YBLA / BLN)
Balranald Airport,YBRN,BZD,,False,False,False,Balranald Airport (Australia) (YBRN / BZD)
Brewarrina Airport,YBRW,BWQ,,False,False,False,Brewarrina Airport (Australia) (YBRW / BWQ)
Cleve Airport,YCEE,CVC,,False,False,False,Cleve Airport (Australia) (YCEE / CVC)
Corowa Airport,YCOR,CWW,,False,False,False,Corowa Airport (Australia) (YCOR / CWW)
Corryong Airport,YCRG,CYG,,False,False,False,Corryong Airport (Australia) (YCRG / CYG)
Cootamundra Airport,YCTM,CMD,,False,False,False,Cootamundra Airport (Australia) (YCTM / CMD)
Dirranbandi Airport,YDBI,DRN,,False,False,False,Dirranbandi Airport (Australia) (YDBI / DRN)
Deniliquin Airport,YDLQ,DNQ,,False,False,False,Deniliquin Airport (Australia) (YDLQ / DNQ)
Dysart Airport,YDYS,DYA,,False,False,False,Dysart Airport (Australia) (YDYS / DYA)
Echuca Airport,YECH,ECH,,False,False,False,Echuca Airport (Australia) (YECH / ECH)
Forbes Airport,YFBS,FRB,,False,False,False,Forbes Airport (Australia) (YFBS / FRB)
Gunnedah Airport,YGDH,GUH,,False,False,False,Gunnedah Airport (Australia) (YGDH / GUH)
Hay Airport,YHAY,HXX,,False,False,False,Hay Airport (Australia) (YHAY / HXX)
Hopetoun Airport,YHPN,HTU,,False,False,False,Hopetoun Airport (Australia) (YHPN / HTU)
Kerang Airport,YKER,KRA,,False,False,False,Kerang Airport (Australia) (YKER / KRA)
Kempsey Airport,YKMP,KPS,,False,False,False,Kempsey Airport (Australia) (YKMP / KPS)
Kingaroy Airport,YKRY,KGY,,False,False,False,Kingaroy Airport (Australia) (YKRY / KGY)
Latrobe Valley Airport,YLTV,TGN,,False,False,False,Latrobe Valley Airport (Australia) (YLTV / TGN)
Mareeba Airport,YMBA,MRG,,False,False,False,Mareeba Airport (Australia) (YMBA / MRG)
Ngukurr Airport,YNGU,RPM,,False,False,False,Ngukurr Airport (Australia) (YNGU / RPM)
Narromine Airport,YNRM,QRM,,False,False,False,Narromine Airport (Australia) (YNRM / QRM)
